issue_id,company_name,round_name,issue,resolution,status,logged_at
1,Nimbus Robotics,Series B,Series B date given as text 'TBD 2027' rather than a real date; round not yet priced per sheet footnote.,"Set round_status='Planned', date_closed=NULL, and left price_per_share/shares_post_round/ownership columns blank; amount/pre/post-money retained as IC guidance figures (is_estimate=1).",Resolved,2026-07-31T09:12:18
2,Nimbus Robotics,Series A2,"Two rows both dated 5/22/2023, one labeled 'Series A-2' ($4.0M raised, $55.0M post) and one 'Series A2' ($4.5M raised, $55.5M post) -- conflicting or duplicate entries with no basis in the workbook to determine which (if either) is correct, or whether they represent sequential tranches.","Not resolved -- inserted both rows sharing round_order, each flagged source_confidence='needs_review', is_estimate=1, with source_note cross-referencing the other row's figures.",Open,2026-07-31T09:12:18
3,Nimbus Robotics,Bridge Note,"Portfolio Notes: 'nimbus robotics - bridge note closed 8/1/24, $2.0M, existing investors only'.","Cross-checked against tracker (Bridge Note, 8/1/2024, $2.0M) -- matches exactly, no change needed.",Resolved,2026-07-31T09:12:18
4,Nimbus Robotics,Series B,"Portfolio Notes: 'Nimbus Robotics Series B still not priced, IC guidance is ~$135M post but nothing signed'.","Cross-checked against tracker -- confirms Series B is correctly represented as unpriced/Planned with ~$135M post-money guidance, no change needed.",Resolved,2026-07-31T09:12:18
5,Verdant Bio,,Sheet stacks two scenarios in one tab: 'Continue Pro-Rata Participation' and 'Pause Investing After Series B'.,"Only 'Continue Pro-Rata Participation' rows inserted as realized/base-case history. 'Pause' scenario excluded entirely as a hypothetical forward-looking branch, not settled history.",Resolved,2026-07-31T09:12:18
6,Verdant Bio,,"Stored Ownership% column (25% -> 19.2% -> 7.3% -> 5.2%, monotonically decreasing) diverges from amount_raised/post_money recompute (25% -> 23.1% -> 18.2% -> 14.9%).","Recomputed ownership_pct_new_investor per the standard rule for all rows. Stored values represent Engine's own cumulative diluting fund position, not each round's new-money %, and were preserved separately in ownership_pct_fund_position.",Resolved,2026-07-31T09:12:18
7,Verdant Bio,Series C,"Series C carries a firm date (4/1/2025) and full deal terms in the tracker, but is not confirmed closed.","Set round_status='Planned', date_closed=NULL. Expected/target close date (2025-04-01, reflecting the 'pushed to Q2 2025' update in Portfolio Notes) recorded in source_note instead of date_closed.",Resolved,2026-07-31T09:12:18
8,Verdant Bio,Series C,"Portfolio Notes: 'Verdant Bio Series C round pushed back a quarter, expected close now Q2 2025 not Q1'.","Cross-checked against tracker date (4/1/2025, which is Q2) -- already reflects this update, no date change needed. (Status handled separately, see other Series C entry.)",Resolved,2026-07-31T09:12:18
9,Fathom Analytics,Pre-Seed,"Portfolio Notes mentions an unconfirmed 'new SAFE, $1.2M, dated 1/10/22' -- same date as the tracker's existing Pre-Seed row, which shows $750K raised. Possible duplicate or conflicting entry for the same event.",Kept the tracker's existing $750K figure (not overwritten by the unconfirmed note); flagged source_confidence='needs_review' pending deal-team confirmation.,Open,2026-07-31T09:12:18
10,Fathom Analytics,Series B,"Portfolio Notes: 'Fathom Analytics Inc. Series B - closed June 2025, $22M raised, post money ~$92M'.","Cross-checked against tracker (6/18/2025, $22M raised, $92M post) -- matches, no change needed.",Resolved,2026-07-31T09:12:18
11,Ridgeline Materials,,"Sheet footnote states all dollar figures are in $000s, differing from every other sheet's raw-dollar convention.","Multiplied all Ridgeline dollar fields (amount_raised_usd, pre_money_usd, post_money_usd) by 1,000 before inserting.",Resolved,2026-07-31T09:12:18
12,Ridgeline Materials,Series B,"Amount Raised entered as -22,000 (in $000s) -- both the sheet's own footnote and Portfolio Notes confirm this is a typo.","Corrected to +22,000 ($22M after unit conversion) before insert.",Resolved,2026-07-31T09:12:18
13,Halcyon Health,Series A,"Two conflicting Series A rows in source: $9.0M raised (shares_post_round=0, #DIV/0! ownership -- broken formula artifact) vs. $9.5M raised (complete, 15.2M shares). Sheet footnote and Portfolio Notes both flag as unreconciled, pending finance confirmation.","Inserted only the $9.5M row (the only one with usable share data), flagged source_confidence='needs_review', is_estimate=1. $9.0M figure preserved here for reference, not inserted as a row.",Open,2026-07-31T09:12:18
14,Halcyon Health,Series B,"shares_post_round was 0/#DIV/0! in source (broken formula, no real share count available).","Left shares_post_round and price_per_share NULL rather than estimate a value. ownership_pct_new_investor still computed from amount_raised_usd/post_money_usd, both of which are reliable.",Resolved,2026-07-31T09:12:18
15,All Companies,,"Every sheet's stored Ownership% column uses a different, unreliable basis (e.g. Halcyon's equals prior_shares/total_shares_post_round, a cap-table stat, not deal ownership; two Halcyon rows are outright #DIV/0!).","Recomputed ownership_pct_new_investor for every row as amount_raised_usd / post_money_usd; no sheet's stored Ownership% column was used directly (Verdant's stored values were preserved separately as ownership_pct_fund_position, see separate entry).",Resolved,2026-07-31T09:12:18
16,All Companies,,"Footnote/context text rows are embedded directly inside the data ranges on several sheets (Nimbus row 11, Ridgeline row 8, Halcyon row 7, Verdant row 17), which if not filtered would become garbage financing_rounds rows with null amounts.",Rows without a valid Amount Raised value were excluded from extraction; footnote text was reviewed and folded into the relevant data_quality_log entries above as context rather than inserted as rows.,Resolved,2026-07-31T09:12:18
